GD01-001	Gundam
GD01-002	Unicorn Gundam (Destroy Mode)
GD01-003	Unicorn Gundam 02 Banshee (Destroy Mode)
GD01-004	Guncannon
GD01-005	Unicorn Gundam (Unicorn Mode)
GD01-006	Delta Plus
GD01-007	Noin's Aries
GD01-008	Guntank
GD01-009	G-Fighter
GD01-010	Unicorn Gundam 02 Banshee (Unicorn Mode)
GD01-011	Loto
GD01-012	Zechs' Leo
GD01-013	Gundam
GD01-014	G-Sky Easy
GD01-015	Ball
GD01-016	Jegan
GD01-017	Stark Jegan
GD01-018	ReZEL
GD01-019	Byarlant Custom
GD01-020	Anksha
GD01-021	Pisces
GD01-022	Cancer
GD01-023	Char's Gelgoog
GD01-024	Wing Gundam Zero
GD01-025	Gundam Deathscythe
GD01-026	Char's Zaku Ⅱ
GD01-027	Big Zam
GD01-028	Gundam Sandrock
GD01-029	Shenlong Gundam
GD01-030	Rick Dom
GD01-031	Gelgoog
GD01-032	Gyan
GD01-033	Gundam Deathscythe
GD01-034	Gundam Heavyarms
GD01-035	Zaku Ⅱ
GD01-036	Gouf
GD01-037	Gogg
GD01-038	Adzam
GD01-039	Dopp
GD01-040	Wing Gundam
GD01-041	Shenlong Gundam
GD01-042	Duo's Leo
GD01-043	Rasid's Maganac
GD01-044	Kshatriya
GD01-045	Duel Gundam (Assault Shroud)
GD01-046	Buster Gundam
GD01-047	Shamblo
GD01-048	Zaku I Sniper Type
GD01-049	Blitz Gundam
GD01-050	LaGOWE
GD01-051	Kshatriya
GD01-052	Geara Zulu (Guards Type)
GD01-053	Geara Doga (Heavy Armed Type)
GD01-054	Duel Gundam
GD01-055	BuCUE
GD01-056	Geara Doga (Sleeves)
GD01-057	Dreissen (Sleeves)
GD01-058	Galluss-K
GD01-059	Zee Zulu
GD01-060	Zaku Mariner
GD01-061	ZuOOT
GD01-062	GOOhN
GD01-063	ZnO
GD01-064	DINN
GD01-065	Freedom Gundam
GD01-066	Justice Gundam
GD01-067	Gundam Aerial Rebuild
GD01-068	Perfect Strike Gundam
GD01-069	Strike Rouge
GD01-070	Gundam Aerial
GD01-071	Gundam Pharact
GD01-072	Launcher Strike Gundam
GD01-073	Sword Strike Gundam
GD01-074	Chuchu's Demi Trainer
GD01-075	Darilbalde
GD01-076	Michaelis
GD01-077	Strike Gundam
GD01-078	Mistral
GD01-079	Skygrasper
GD01-080	Cagalli's Skygrasper
GD01-081	M1 Astray
GD01-082	Gundam Aerial (Mirasoul Flight Unit)
GD01-083	Guel's Dilanza
GD01-084	Beguir-Pente
GD01-085	Demi Garrison
GD01-086	Gundam Lfrith
GD01-087	Sayla Mass
GD01-088	Banagher Links
GD01-089	Riddhe Marcenas
GD01-090	Duo Maxwell
GD01-091	Chang Wufei
GD01-092	M'Quve
GD01-093	Marida Cruz
GD01-094	Yzak Jule
GD01-095	Dearka Elthman
GD01-096	Cagalli Yula Athha
GD01-097	Guel Jeturk
GD01-098	Elan Ceres (Enhanced Person Number 4)
GD01-099	Intercept Orders
GD01-100	A Show of Resolve
GD01-101	Deep Devotion
GD01-102	Securing the Supply Line
GD01-103	The Stubborn Cog
GD01-104	Signs of a Revolution
GD01-105	Citizens, Take a Stand!
GD01-106	Fortress Defense
GD01-107	First Contact
GD01-108	Strategic Arms
GD01-109	The Path to Victory or Defeat
GD01-110	Rasid's Orders
GD01-111	Battle of Aces
GD01-112	Extreme Hatred
GD01-113	The Desert Tiger
GD01-114	Assault on Torrington Base
GD01-115	Zeon Remnant Forces
GD01-116	Stealth Stratagem
GD01-117	The Witch and the Bride
GD01-118	Overflowing Affection
GD01-119	Iron-Fisted Discipline
GD01-120	Naval Bombardment
GD01-121	Midair Modifications
GD01-122	Covert Operative
GD01-123	Nahel Argama
GD01-124	Side 7
GD01-125	Zanzibar
GD01-126	Underground Desert Base
GD01-127	Gamow
GD01-128	Mining Asteroid Palau
GD01-129	Kusanagi
GD01-130	13th Tactical Testing Sector
T-011	Fatum-00
R-002	Resource
R-003	Resource
R-004	Resource
R-005	Resource
R-006	Resource
R-007	Resource
R-008	Resource
R-009	Resource
